DISS,Province,District,Chiefdom,2004 population,,,inferred 2014 population,,
,,,,Total,Male,Female,Total,Male,Female
96,Northern,Koinadugu,Wara-Wara Yagala,27168,12914,14254,34294,16301,17993
52,Eastern,Kono,Fiama,9091,4424,4667,8808,4286,4522
53,Eastern,Kono,Gbane Kandor,4163,1973,2190,4033,1911,2122
54,Eastern,Kono,Gbane,14813,7190,7623,14353,6967,7386
55,Eastern,Kono,Gbense,104624,55324,49300,101379,53608,47771
56,Eastern,Kono,Gorama Kono,11643,5839,5804,11281,5657,5624
57,Eastern,Kono,Kamara,12538,6981,5557,12148,6764,5384
58,Eastern,Kono,Lei,16452,7750,8702,15941,7509,8432
59,Eastern,Kono,Mafindor,6801,3198,3603,6589,3098,3491
60,Eastern,Kono,Nimikoro,44295,24263,20032,42920,23510,19410
61,Eastern,Kono,Nimiyama,26140,14238,11902,25329,13796,11533
62,Eastern,Kono,Sandor,49971,24626,25345,48421,23862,24559
63,Eastern,Kono,Soa,21249,10139,11110,20589,9824,10765
64,Eastern,Kono,Tankoro,11014,5533,5481,10672,5361,5311
65,Eastern,Kono,Toli,2607,1194,1413,2525,1156,1369
122,Southern,Moyamba,Bagruwa,18989,8974,10015,20240,9565,10675
123,Southern,Moyamba,Lower Banta,8219,4087,4132,8760,4356,4404
124,Southern,Moyamba,Upper Banta,25954,12369,13585,27665,13184,14481
125,Southern,Moyamba,Bumpe,32363,15172,17191,34496,16172,18324
126,Southern,Moyamba,Dasse,10879,5082,5797,11596,5417,6179
127,Southern,Moyamba,Fakunya,22327,10548,11779,23798,11243,12555
128,Southern,Moyamba,Kagboro,31150,14906,16244,33204,15889,17315
129,Southern,Moyamba,Kaiyamba,21669,10210,11459,23097,10883,12214
130,Southern,Moyamba,Kamajei,8549,3974,4575,9112,4236,4876
131,Southern,Moyamba,Kongbora,11331,5541,5790,12077,5906,6171
132,Southern,Moyamba,Kori,29043,13807,15236,30957,14717,16240
133,Southern,Moyamba,Kowa,7082,3279,3803,7548,3495,4053
134,Southern,Moyamba,Ribbi,25163,11792,13371,26821,12569,14252
135,Southern,Moyamba,Timdale,8192,3940,4252,8731,4199,4532
97,Northern,Port Loko,Bureh Kasseh,32174,15096,17078,39564,18563,21001
98,Northern,Port Loko,Buya Romende,27881,13230,14651,34285,16269,18016
99,Northern,Port Loko,Debia,15077,7123,7954,18540,8759,9781
100,Northern,Port Loko,Kaffu Bullom,69637,33473,36164,85633,41162,44471
101,Northern,Port Loko,Koya (Port Loko),63614,29519,34095,78226,36299,41927
102,Northern,Port Loko,Lokomasama,72348,33469,38879,88967,41157,47810
103,Northern,Port Loko,Maforki,68042,31808,36234,83671,39114,44557
104,Northern,Port Loko,Marampa,36108,17249,18859,44402,21211,23191
105,Northern,Port Loko,Masimera,32845,15232,17613,40389,18731,21658
106,Northern,Port Loko,Sanda Magbolontor,15088,7017,8071,18553,8628,9925
107,Northern,Port Loko,T.M. Safroko,20932,9732,11200,25739,11967,13772
136,Southern,Pujehun,Barri,32245,15714,16531,47376,23088,24288
137,Southern,Pujehun,Gallines Perri,27072,13016,14056,39776,19124,20652
138,Southern,Pujehun,Kpaka,12827,5987,6840,18845,8796,10049
